--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.29, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.29, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.39, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.49, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.59, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.69, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.79, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.89, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.99, offset_x_cm for ac: -108.88
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.09, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.19, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.29, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.39, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.49, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.59, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.69, offset_x_cm for ac: -108.87
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.79, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.89, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 642.99, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.09, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.19, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.29, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.39, offset_x_cm for ac: -108.86
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.49, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.59, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.69, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.79, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.89, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 643.99, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.09, offset_x_cm for ac: -108.85
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.19, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.29, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.39, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.49, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.59, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.69, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.79, offset_x_cm for ac: -108.84
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.89, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 644.99, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.09, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.19, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.29, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.39, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.49, offset_x_cm for ac: -108.83
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.59, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.69, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.79, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.89, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 645.99, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.09, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.19, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.29, offset_x_cm for ac: -108.82
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.39, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.49, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.59, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.69, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.79, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.89, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 646.99, offset_x_cm for ac: -108.81
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.09, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.19, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.29, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.39, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.49, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.59, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.69, offset_x_cm for ac: -108.80
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.79, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.89, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 647.99, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.09, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.19, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.29, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.39, offset_x_cm for ac: -108.79
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.49, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.59, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.69, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.79, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.89, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 648.99, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.09, offset_x_cm for ac: -108.78
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.19, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.29, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.39, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.49, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.59, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.69, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.79, offset_x_cm for ac: -108.77
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.89, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 649.99, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.09, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.19, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.29, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.39, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.49, offset_x_cm for ac: -108.76
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.59, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.69, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.79, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.89, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 650.99, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.09, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.19, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.29, offset_x_cm for ac: -108.75
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.39, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.49, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.59, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.69, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.79, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.89, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 651.99, offset_x_cm for ac: -108.74
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.09, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.19, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.29, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.39, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.49, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.59, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.69, offset_x_cm for ac: -108.73
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.79, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.89, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 652.99, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.09, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.19, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.29, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.39, offset_x_cm for ac: -108.72
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.49, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.59, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.69, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.79, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.89, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 653.99, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.09, offset_x_cm for ac: -108.71
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.19, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.29, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.39, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.49, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.59, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.69, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.79, offset_x_cm for ac: -108.70
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.89, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 654.99, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.09, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.19, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.29, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.39, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.49, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.59, offset_x_cm for ac: -108.69
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.69, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.79, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.89, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 655.99, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.09, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.19, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.29, offset_x_cm for ac: -108.68
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.39, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.49, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.59, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.69, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.79, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.89, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 656.99, offset_x_cm for ac: -108.67
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.09, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.19, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.29, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.39, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.49, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.59, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.69, offset_x_cm for ac: -108.66
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.79, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.89, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 657.99, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.09, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.19, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.29, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.39, offset_x_cm for ac: -108.65
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.49, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.59, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.69, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.79, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.89, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 658.99, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.09, offset_x_cm for ac: -108.64
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.19, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.29, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.39, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.49, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.59, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.69, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.79, offset_x_cm for ac: -108.63
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.89, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 659.99, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.09, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.19, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.29, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.39, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.49, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.59, offset_x_cm for ac: -108.62
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.69, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.79, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.89, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 660.99, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.09, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.19, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.29, offset_x_cm for ac: -108.61
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.39, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.49, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.59, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.69, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.79, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.89, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 661.99, offset_x_cm for ac: -108.60
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.09, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.19, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.29, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.39, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.49, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.59, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.69, offset_x_cm for ac: -108.59
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.79, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.89, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 662.99, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.09, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.19, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.29, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.39, offset_x_cm for ac: -108.58
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.49, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.59, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.69, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.79, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.89, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 663.99, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 664.09, offset_x_cm for ac: -108.57
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 664.19, offset_x_cm for ac: -108.56
