--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.48, offset_x_cm for ac: -54.47
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 29.83, offset_x_cm for ac: -56.76
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 29.93, offset_x_cm for ac: -56.85
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.03, offset_x_cm for ac: -56.95
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.13, offset_x_cm for ac: -57.04
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.23, offset_x_cm for ac: -57.13
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.33, offset_x_cm for ac: -57.23
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.43, offset_x_cm for ac: -57.32
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.53, offset_x_cm for ac: -57.41
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.63, offset_x_cm for ac: -57.50
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.73, offset_x_cm for ac: -57.59
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 30.83, offset_x_cm for ac: -57.69
send offset to actuator, count:19, delta_loop_time: 11, offset_y_cm from origin: 29.85, offset_x_cm for ac: -57.80
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 29.95, offset_x_cm for ac: -57.89
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.05, offset_x_cm for ac: -57.98
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.15, offset_x_cm for ac: -58.07
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.25, offset_x_cm for ac: -58.16
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.35, offset_x_cm for ac: -58.25
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.45, offset_x_cm for ac: -58.34
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.55, offset_x_cm for ac: -58.43
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.65, offset_x_cm for ac: -58.52
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.75, offset_x_cm for ac: -58.61
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.85, offset_x_cm for ac: -58.70
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 30.95, offset_x_cm for ac: -58.79
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 31.05, offset_x_cm for ac: -58.88
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 31.15, offset_x_cm for ac: -58.97
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 31.25, offset_x_cm for ac: -59.06
send offset to actuator, count:20, delta_loop_time: 11, offset_y_cm from origin: 31.99, offset_x_cm for ac: -59.15
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.09, offset_x_cm for ac: -59.24
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.19, offset_x_cm for ac: -59.33
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.29, offset_x_cm for ac: -59.41
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.39, offset_x_cm for ac: -59.50
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.49, offset_x_cm for ac: -59.59
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.59, offset_x_cm for ac: -59.68
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.69, offset_x_cm for ac: -59.77
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.79, offset_x_cm for ac: -59.85
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.89, offset_x_cm for ac: -59.94
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.99, offset_x_cm for ac: -60.03
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 33.09, offset_x_cm for ac: -60.11
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 33.19, offset_x_cm for ac: -60.20
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 33.29, offset_x_cm for ac: -60.29
send offset to actuator, count:21, delta_loop_time: 11, offset_y_cm from origin: 32.59, offset_x_cm for ac: -60.38
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 32.69, offset_x_cm for ac: -60.47
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 32.79, offset_x_cm for ac: -60.55
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 32.89, offset_x_cm for ac: -60.63
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 32.99, offset_x_cm for ac: -60.71
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.09, offset_x_cm for ac: -60.79
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.19, offset_x_cm for ac: -60.87
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.29, offset_x_cm for ac: -60.95
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.39, offset_x_cm for ac: -61.03
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.49, offset_x_cm for ac: -61.11
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.59, offset_x_cm for ac: -61.19
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.69, offset_x_cm for ac: -61.27
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.79, offset_x_cm for ac: -61.35
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.89, offset_x_cm for ac: -61.42
send offset to actuator, count:22, delta_loop_time: 11, offset_y_cm from origin: 33.19, offset_x_cm for ac: -61.51
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.29, offset_x_cm for ac: -61.58
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.39, offset_x_cm for ac: -61.65
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.49, offset_x_cm for ac: -61.71
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.59, offset_x_cm for ac: -61.78
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.69, offset_x_cm for ac: -61.85
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.79, offset_x_cm for ac: -61.92
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.89, offset_x_cm for ac: -61.99
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.99, offset_x_cm for ac: -62.06
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.09, offset_x_cm for ac: -62.12
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.19, offset_x_cm for ac: -62.19
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.29, offset_x_cm for ac: -62.26
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.39, offset_x_cm for ac: -62.33
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.49, offset_x_cm for ac: -62.39
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.59, offset_x_cm for ac: -62.46
send offset to actuator, count:23, delta_loop_time: 11, offset_y_cm from origin: 34.60, offset_x_cm for ac: -62.53
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 34.70, offset_x_cm for ac: -62.60
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 34.80, offset_x_cm for ac: -62.66
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 34.90, offset_x_cm for ac: -62.73
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.00, offset_x_cm for ac: -62.80
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.10, offset_x_cm for ac: -62.86
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.20, offset_x_cm for ac: -62.93
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.30, offset_x_cm for ac: -62.99
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.40, offset_x_cm for ac: -63.06
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.50, offset_x_cm for ac: -63.12
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.60, offset_x_cm for ac: -63.18
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.70, offset_x_cm for ac: -63.25
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.80, offset_x_cm for ac: -63.31
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.90, offset_x_cm for ac: -63.38
send offset to actuator, count:24, delta_loop_time: 11, offset_y_cm from origin: 34.77, offset_x_cm for ac: -63.46
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 34.87, offset_x_cm for ac: -63.52
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 34.97, offset_x_cm for ac: -63.58
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.07, offset_x_cm for ac: -63.65
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.17, offset_x_cm for ac: -63.71
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.27, offset_x_cm for ac: -63.77
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.37, offset_x_cm for ac: -63.83
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.47, offset_x_cm for ac: -63.90
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.57, offset_x_cm for ac: -63.96
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.67, offset_x_cm for ac: -64.02
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.77, offset_x_cm for ac: -64.08
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.87, offset_x_cm for ac: -64.14
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 35.97, offset_x_cm for ac: -64.20
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 36.07, offset_x_cm for ac: -64.27
send offset to actuator, count:25, delta_loop_time: 11, offset_y_cm from origin: 35.55, offset_x_cm for ac: -64.33
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 35.65, offset_x_cm for ac: -64.38
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 35.75, offset_x_cm for ac: -64.44
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 35.85, offset_x_cm for ac: -64.49
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 35.95, offset_x_cm for ac: -64.54
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.05, offset_x_cm for ac: -64.60
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.15, offset_x_cm for ac: -64.65
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.25, offset_x_cm for ac: -64.70
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.35, offset_x_cm for ac: -64.75
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.45, offset_x_cm for ac: -64.81
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.55, offset_x_cm for ac: -64.86
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.65, offset_x_cm for ac: -64.91
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.75, offset_x_cm for ac: -64.96
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.85, offset_x_cm for ac: -65.02
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 36.95, offset_x_cm for ac: -65.07
send offset to actuator, count:26, delta_loop_time: 11, offset_y_cm from origin: 36.12, offset_x_cm for ac: -65.14
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.22, offset_x_cm for ac: -65.20
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.32, offset_x_cm for ac: -65.26
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.42, offset_x_cm for ac: -65.31
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.52, offset_x_cm for ac: -65.37
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.62, offset_x_cm for ac: -65.43
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.72, offset_x_cm for ac: -65.48
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.82, offset_x_cm for ac: -65.54
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 36.92, offset_x_cm for ac: -65.60
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 37.02, offset_x_cm for ac: -65.66
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 37.12, offset_x_cm for ac: -65.71
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 37.22, offset_x_cm for ac: -65.77
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 37.32, offset_x_cm for ac: -65.82
send offset to actuator, count:27, delta_loop_time: 11, offset_y_cm from origin: 36.21, offset_x_cm for ac: -65.90
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.31, offset_x_cm for ac: -65.96
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.41, offset_x_cm for ac: -66.01
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.51, offset_x_cm for ac: -66.07
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.61, offset_x_cm for ac: -66.13
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.71, offset_x_cm for ac: -66.19
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.81, offset_x_cm for ac: -66.24
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 36.91, offset_x_cm for ac: -66.30
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 37.01, offset_x_cm for ac: -66.36
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 37.11, offset_x_cm for ac: -66.41
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 37.21, offset_x_cm for ac: -66.47
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 37.31, offset_x_cm for ac: -66.53
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 37.41, offset_x_cm for ac: -66.58
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 37.51, offset_x_cm for ac: -66.64
send offset to actuator, count:28, delta_loop_time: 11, offset_y_cm from origin: 36.27, offset_x_cm for ac: -66.71
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.37, offset_x_cm for ac: -66.76
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.47, offset_x_cm for ac: -66.82
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.57, offset_x_cm for ac: -66.87
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.67, offset_x_cm for ac: -66.92
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.77, offset_x_cm for ac: -66.97
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.87, offset_x_cm for ac: -67.03
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 36.97, offset_x_cm for ac: -67.08
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 37.07, offset_x_cm for ac: -67.13
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 37.17, offset_x_cm for ac: -67.18
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 37.27, offset_x_cm for ac: -67.23
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 37.37, offset_x_cm for ac: -67.29
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 37.47, offset_x_cm for ac: -67.34
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 37.57, offset_x_cm for ac: -67.39
send offset to actuator, count:29, delta_loop_time: 11, offset_y_cm from origin: 37.97, offset_x_cm for ac: -67.45
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.07, offset_x_cm for ac: -67.50
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.17, offset_x_cm for ac: -67.56
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.27, offset_x_cm for ac: -67.61
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.37, offset_x_cm for ac: -67.66
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.47, offset_x_cm for ac: -67.72
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.57, offset_x_cm for ac: -67.77
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.67, offset_x_cm for ac: -67.83
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.77, offset_x_cm for ac: -67.88
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.87, offset_x_cm for ac: -67.93
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 38.97, offset_x_cm for ac: -67.99
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 39.07, offset_x_cm for ac: -68.04
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 39.17, offset_x_cm for ac: -68.09
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 39.27, offset_x_cm for ac: -68.14
send offset to actuator, count:30, delta_loop_time: 11, offset_y_cm from origin: 38.49, offset_x_cm for ac: -68.20
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 38.59, offset_x_cm for ac: -68.25
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 38.69, offset_x_cm for ac: -68.30
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 38.79, offset_x_cm for ac: -68.34
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 38.89, offset_x_cm for ac: -68.39
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 38.99, offset_x_cm for ac: -68.44
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.09, offset_x_cm for ac: -68.48
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.19, offset_x_cm for ac: -68.53
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.29, offset_x_cm for ac: -68.57
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.39, offset_x_cm for ac: -68.62
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.49, offset_x_cm for ac: -68.66
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.59, offset_x_cm for ac: -68.71
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 39.69, offset_x_cm for ac: -68.75
send offset to actuator, count:31, delta_loop_time: 11, offset_y_cm from origin: 37.51, offset_x_cm for ac: -68.82
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 37.61, offset_x_cm for ac: -68.86
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 37.71, offset_x_cm for ac: -68.90
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 37.81, offset_x_cm for ac: -68.94
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 37.91, offset_x_cm for ac: -68.99
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.01, offset_x_cm for ac: -69.03
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.11, offset_x_cm for ac: -69.07
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.21, offset_x_cm for ac: -69.11
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.31, offset_x_cm for ac: -69.15
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.41, offset_x_cm for ac: -69.19
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.51, offset_x_cm for ac: -69.23
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.61, offset_x_cm for ac: -69.27
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 38.71, offset_x_cm for ac: -69.31
send offset to actuator, count:32, delta_loop_time: 11, offset_y_cm from origin: 39.24, offset_x_cm for ac: -69.36
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.34, offset_x_cm for ac: -69.40
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.44, offset_x_cm for ac: -69.44
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.54, offset_x_cm for ac: -69.49
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.64, offset_x_cm for ac: -69.53
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.74, offset_x_cm for ac: -69.58
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.84, offset_x_cm for ac: -69.62
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 39.94, offset_x_cm for ac: -69.66
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.04, offset_x_cm for ac: -69.71
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.14, offset_x_cm for ac: -69.75
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.24, offset_x_cm for ac: -69.80
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.34, offset_x_cm for ac: -69.84
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.44, offset_x_cm for ac: -69.88
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.54, offset_x_cm for ac: -69.93
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 40.64, offset_x_cm for ac: -69.97
send offset to actuator, count:33, delta_loop_time: 11, offset_y_cm from origin: 42.04, offset_x_cm for ac: -70.00
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.14, offset_x_cm for ac: -70.04
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.24, offset_x_cm for ac: -70.07
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.34, offset_x_cm for ac: -70.11
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.44, offset_x_cm for ac: -70.15
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.54, offset_x_cm for ac: -70.19
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.64, offset_x_cm for ac: -70.22
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.74, offset_x_cm for ac: -70.26
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.84, offset_x_cm for ac: -70.30
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 42.94, offset_x_cm for ac: -70.33
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 43.04, offset_x_cm for ac: -70.37
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 43.14, offset_x_cm for ac: -70.41
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 43.24, offset_x_cm for ac: -70.45
send offset to actuator, count:33, delta_loop_time: 10, offset_y_cm from origin: 43.34, offset_x_cm for ac: -70.48
send offset to actuator, count:34, delta_loop_time: 11, offset_y_cm from origin: 41.50, offset_x_cm for ac: -70.54
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 41.60, offset_x_cm for ac: -70.57
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 41.70, offset_x_cm for ac: -70.61
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 41.80, offset_x_cm for ac: -70.64
send offset to actuator, count:34, delta_loop_time: 10, offset_y_cm from origin: 41.90, offset_x_cm for ac: -70.67
